City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Weligama,LK,5.9667,80.4167,79.03,87,84,11.86,broken clouds
112,Stepnogorsk,KZ,52.3544,71.8869,58.33,45,90,11.25,overcast clouds
113,Krathum Baen,TH,13.6533,100.2597,89.01,83,88,10.85,overcast clouds
114,Hami,CN,42.8,93.45,75.36,31,100,15.05,overcast clouds
115,Ballina,AU,-28.8667,153.5667,49.78,63,100,8.68,overcast clouds
116,Mananara,MG,-16.1667,49.7667,72.01,85,77,3.67,broken clouds
117,Kalemie,CD,-5.9475,29.1947,73.83,75,55,9.62,light rain
118,Rongcheng,CN,30.634,117.8517,69.37,84,94,2.91,overcast clouds
119,Gushikawa,JP,26.3544,127.8686,76.23,96,100,10.36,moderate rain
120,Srednekolymsk,RU,67.45,153.6833,58.17,56,100,6.8,overcast clouds
121,Potoru,SL,7.5072,-11.4786,82.9,81,93,6.13,light rain
122,Hue,VN,16.4667,107.6,82.51,78,20,2.3,few clouds
123,Zhanaozen,KZ,43.3,52.8,89.13,12,1,14.12,clear sky
124,Lac Du Bonnet,CA,50.2536,-96.0612,53.65,59,7,13.15,clear sky
125,Lavrentiya,RU,65.5833,-171.0,38.71,86,28,6.04,scattered clouds
126,Busselton,AU,-33.65,115.3333,57.99,79,56,8.93,broken clouds
127,Ambon,ID,-3.6954,128.1814,78.94,89,40,1.14,scattered clouds
128,Deputatskiy,RU,69.3,139.9,34.27,95,100,5.44,overcast clouds
129,Kununurra,AU,-15.7667,128.7333,78.78,83,100,4.61,overcast clouds
130,Novo Aripuana,BR,-5.1206,-60.3797,86.16,70,34,3.11,light rain
131,Mulege,MX,26.8833,-111.9833,83.8,37,0,4.0,clear sky
132,Oranjemund,NA,-28.55,16.4333,58.68,57,0,9.95,clear sky
133,George,ZA,-33.963,22.4617,60.35,77,0,8.05,clear sky
134,Cidreira,BR,-30.1811,-50.2056,54.73,67,100,2.59,overcast clouds
135,Port Elizabeth,ZA,-33.918,25.5701,65.1,69,0,17.0,clear sky
136,Chisinau,MD,47.0056,28.8575,81.03,50,40,12.66,scattered clouds
137,Caravelas,BR,-17.7125,-39.2481,80.74,63,1,7.09,clear sky
138,Fare,PF,-16.7,-151.0167,79.41,72,100,14.05,overcast clouds
139,Inirida,CO,3.8653,-67.9239,74.07,96,100,2.73,overcast clouds
140,Manyoni,TZ,-5.7467,34.8382,71.64,50,100,5.21,overcast clouds
141,Bahia Blanca,AR,-38.7196,-62.2724,47.66,41,2,6.67,clear sky
142,Nikolskoye,RU,59.7035,30.7861,69.69,43,96,4.12,overcast clouds
143,Ginda,IN,30.6945,78.4932,67.39,26,1,7.36,clear sky
