City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Viedma,AR,2022-05-26 17:05:17,-40.8135,-62.9967,51.73,30,0,15.41
101,Puerto Ayora,EC,2022-05-26 17:05:17,-0.7393,-90.3518,80.56,87,88,5.01
102,Martapura,ID,2022-05-26 17:05:18,-3.4167,114.85,77.09,100,100,3.44
103,Abu Dhabi,AE,2022-05-26 17:05:09,24.4667,54.3667,89.62,48,0,17.27
104,Lebu,CL,2022-05-26 17:05:18,-37.6167,-73.65,49.98,62,41,15.59
105,Kloulklubed,PW,2022-05-26 17:05:19,7.0419,134.2556,83.17,75,100,6.15
106,Beaupre,CA,2022-05-26 17:05:19,47.0443,-70.8953,57.54,95,100,6.73
107,Ponta Do Sol,PT,2022-05-26 17:05:19,32.6667,-17.1,71.01,73,86,3.65
108,Zavyalovo,RU,2022-05-26 17:05:20,54.5053,82.4484,57.33,58,99,11.56
109,Skibotn,NO,2022-05-26 17:05:20,69.3913,20.2679,59.11,58,54,5.88
110,Dikson,RU,2022-05-26 17:05:20,73.5069,80.5464,25.45,90,100,5.1
111,Klyuchi,RU,2022-05-26 17:05:21,52.2667,79.1667,71.08,53,40,11.05
112,Cartagena Del Chaira,CO,2022-05-26 17:05:00,1.3349,-74.8429,70.34,99,100,3.24
113,Bathsheba,BB,2022-05-26 17:05:21,13.2167,-59.5167,86.61,66,20,17.27
114,Nioro,GM,2022-05-26 17:05:22,13.35,-15.75,93.15,38,82,9.42
115,Sao Joao Da Barra,BR,2022-05-26 17:05:21,-21.6403,-41.0511,78.89,68,57,12.33
116,Nagua,DO,2022-05-26 17:05:22,19.3832,-69.8474,86.31,79,20,13.8
117,Zemio,CF,2022-05-26 17:05:23,5.0314,25.1361,77.29,62,20,2.39
118,Norman Wells,CA,2022-05-26 17:05:23,65.282,-126.8329,53.56,60,100,3.0
119,Flinders,AU,2022-05-26 17:05:23,-34.5833,150.8552,56.25,90,35,1.99
120,Ust-Kuyga,RU,2022-05-26 17:05:24,70.0167,135.6,20.05,94,13,5.84
121,Bascov,RO,2022-05-26 17:05:24,44.9,24.8167,69.37,55,7,4.54
122,Mahebourg,MU,2022-05-26 17:05:24,-20.4081,57.7,71.89,83,40,3.44
123,Fare,PF,2022-05-26 17:05:25,-16.7,-151.0167,80.4,70,4,13.98
124,Nemuro,JP,2022-05-26 17:05:25,43.3236,145.575,48.58,99,71,11.79
125,North Platte,US,2022-05-26 17:03:01,41.1239,-100.7654,67.89,48,0,5.01
126,Souillac,MU,2022-05-26 17:05:26,-20.5167,57.5167,71.98,83,40,3.44
127,Kortkeros,RU,2022-05-26 17:05:26,61.8106,51.5806,50.18,80,93,5.7
128,Kaniama,CD,2022-05-26 17:05:27,-7.5667,24.1833,75.94,41,30,3.29
129,Hope,US,2022-05-26 17:02:11,33.6671,-93.5916,77.05,47,71,16.71
130,Sestri Levante,IT,2022-05-26 17:05:27,44.2732,9.3968,81.77,76,78,3.31
131,General Roca,AR,2022-05-26 17:05:28,-39.0333,-67.5833,47.62,59,100,9.64
132,Kieta,PG,2022-05-26 17:05:28,-6.2167,155.6333,78.03,85,100,3.06
133,Georgetown,MY,2022-05-26 17:02:17,5.4112,100.3354,80.53,94,20,0.0
134,Port Blair,IN,2022-05-26 17:01:32,11.6667,92.75,82.47,81,91,16.42
135,Dodge City,US,2022-05-26 17:00:55,37.7528,-100.0171,69.26,50,0,15.99
136,Torbay,CA,2022-05-26 17:03:19,47.6666,-52.7314,53.89,73,14,21.0
137,Bosaso,SO,2022-05-26 17:02:52,11.2842,49.1816,85.64,71,73,1.7
138,Bengkulu,ID,2022-05-26 17:05:28,-3.8004,102.2655,77.22,84,89,4.32
139,Owo,NG,2022-05-26 17:05:29,7.1962,5.5868,79.39,78,92,5.5
140,San Quintin,MX,2022-05-26 17:05:29,30.4833,-115.95,66.83,68,0,7.76
141,Nautla,MX,2022-05-26 17:05:30,20.2167,-96.7833,89.19,61,73,9.33
142,Isangel,VU,2022-05-26 17:05:30,-19.55,169.2667,74.16,87,4,6.35
143,Nikolskoye,RU,2022-05-26 17:05:30,59.7035,30.7861,53.49,98,100,2.08
144,Roald,NO,2022-05-26 17:05:31,62.5833,6.1333,55.33,76,0,16.11
145,Bilibino,RU,2022-05-26 17:05:31,68.0546,166.4372,48.27,64,100,3.67
146,Taltal,CL,2022-05-26 17:02:13,-25.4,-70.4833,63.88,67,96,4.83
147,Naze,JP,2022-05-26 17:05:32,28.3667,129.4833,64.18,90,100,8.63
148,Tacoronte,ES,2022-05-26 17:05:32,28.4769,-16.4102,66.52,72,20,16.11
149,Victoria,HK,2022-05-26 17:02:56,22.2855,114.1577,82.45,89,100,5.99
150,Liku,ID,2022-05-26 17:05:33,-0.7275,119.8922,74.52,98,100,3.18
151,Antsohihy,MG,2022-05-26 17:05:33,-14.8796,47.9875,73.33,87,4,3.0
152,Saint-Augustin,CA,2022-05-26 17:05:33,51.226,-58.6502,52.92,33,56,10.2
153,Omboue,GA,2022-05-26 17:05:34,-1.5746,9.2618,76.23,82,97,5.35
154,Kailua,US,2022-05-26 17:00:51,21.4022,-157.7394,76.64,68,13,4.0
155,Castro,BR,2022-05-26 17:05:34,-24.7911,-50.0119,71.06,46,48,4.85
156,Fairbanks,US,2022-05-26 17:01:39,64.8378,-147.7164,58.3,60,75,1.01
157,Luderitz,NA,2022-05-26 17:05:35,-26.6481,15.1594,59.74,78,0,6.51
158,Pierre,US,2022-05-26 17:01:05,44.3683,-100.351,74.86,35,1,1.99
159,Porbandar,IN,2022-05-26 17:05:35,21.6422,69.6093,82.33,82,8,16.53
160,Manggar,ID,2022-05-26 17:05:35,-2.8833,108.2667,80.62,77,98,3.2
161,Ahipara,NZ,2022-05-26 17:05:36,-35.1667,173.1667,52.7,86,81,3.8
162,Batie,BF,2022-05-26 17:05:36,9.8833,-2.9167,90.81,43,71,7.11
163,Port Augusta,AU,2022-05-26 17:05:36,-32.5,137.7667,54.57,90,5,6.02
164,Gamba,GA,2022-05-26 17:05:37,-2.65,10.0,75.74,81,94,5.68
165,Umm Kaddadah,SD,2022-05-26 17:05:37,13.6017,26.6876,89.78,6,2,9.84
166,Katsuura,JP,2022-05-26 17:05:38,35.1333,140.3,67.66,88,100,18.23
167,Samarai,PG,2022-05-26 17:05:38,-10.6167,150.6667,80.44,74,86,10.18
168,Hovd,MN,2022-05-26 17:05:39,48.0056,91.6419,65.46,51,97,2.57
169,Belozerskoye,RU,2022-05-26 17:05:39,55.8214,65.5842,56.57,94,100,18.01
170,Atar,MR,2022-05-26 17:05:40,20.5169,-13.0499,103.84,15,0,19.98
171,Abay,KZ,2022-05-26 17:05:40,49.6311,72.8539,64.78,30,8,8.1
172,Blucina,CZ,2022-05-26 17:05:40,49.055,16.6445,69.57,49,0,13.8
173,Mount Gambier,AU,2022-05-26 17:03:56,-37.8333,140.7667,49.91,93,100,6.91
174,Lompoc,US,2022-05-26 17:05:02,34.6391,-120.4579,61.61,97,100,4.61
175,Carnarvon,AU,2022-05-26 17:05:41,-24.8667,113.6333,71.85,59,100,10.76
176,San Juan Ixcoy,GT,2022-05-26 17:05:42,15.5997,-91.4453,72.45,77,100,1.32
177,Port Elizabeth,ZA,2022-05-26 17:05:42,-33.918,25.5701,61.11,99,75,6.91
178,Saint George,US,2022-05-26 17:04:32,37.1041,-113.5841,88.79,14,0,1.99
