City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Myre,NO,69.1036,15.9492,56.34,69,6,5.75,clear sky
104,Marawi,PH,7.9986,124.2928,75.24,66,100,3.02,overcast clouds
105,Komsomolskiy,UZ,40.4272,71.7189,59.72,63,0,2.3,clear sky
106,Souillac,MU,-20.5167,57.5167,73.78,68,40,16.11,light rain
107,Nikel,RU,69.4128,30.222,41.18,53,8,5.03,clear sky
108,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.01,few clouds
109,Esperance,AU,-33.8667,121.9,57.96,71,100,10.74,overcast clouds
110,Port Elizabeth,ZA,-33.918,25.5701,57.49,59,0,9.22,clear sky
111,Broome,US,42.2506,-75.833,76.64,79,100,2.1,overcast clouds
112,Elbistan,TR,38.2059,37.1983,61.2,63,0,0.69,clear sky
113,Rawson,AR,-43.3002,-65.1023,40.89,61,29,12.03,scattered clouds
114,Adrar,MR,20.5022,-10.0711,86.59,19,84,11.12,broken clouds
115,Cidreira,BR,-30.1811,-50.2056,49.6,69,13,10.67,few clouds
116,General Pico,AR,-35.6566,-63.7568,33.39,69,0,4.92,clear sky
117,Dickinson,US,29.4608,-95.0513,84.15,83,40,13.8,scattered clouds
118,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,14.97,scattered clouds
119,Touros,BR,-5.1989,-35.4608,76.53,90,28,8.16,scattered clouds
120,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,75,3.44,broken clouds
121,Tiksi,RU,71.6872,128.8694,30.43,94,100,13.8,light snow
122,Vestmanna,FO,62.1564,-7.1664,41.92,87,75,3.44,broken clouds
123,Maunabo,PR,18.0072,-65.8993,80.71,83,82,13.24,broken clouds
124,Atuona,PF,-9.8,-139.0333,77.97,72,9,12.1,clear sky
125,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,89,0,12.66,clear sky
126,Mansoa,GW,12.0733,-15.3189,79.0,73,99,6.67,overcast clouds
127,Grand Gaube,MU,-20.0064,57.6608,73.8,69,1,7.0,clear sky
