City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Tefe,BR,73.24,moderate rain,-3.3542,-64.7114,Aracati Hotel
99,Campo De Criptana,ES,57.52,overcast clouds,39.4046,-3.1249,La Casa de la Torrecilla
100,Narsaq,GL,43.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
101,Cherskiy,RU,54.7,broken clouds,68.75,161.3,Gostinitsa
102,Meulaboh,ID,79.57,overcast clouds,4.1363,96.1285,Kost Pria
103,Myre,NO,56.34,clear sky,69.1036,15.9492,Alveland AS
104,Marawi,PH,75.24,overcast clouds,7.9986,124.2928,Derogongan Residence
105,Komsomolskiy,UZ,59.72,clear sky,40.4272,71.7189,Ikathouse
106,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Nikel,RU,41.18,clear sky,69.4128,30.222,Severnoe Siyanie
108,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
109,Esperance,AU,57.96,overcast clouds,-33.8667,121.9,Hospitality Esperance
110,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
111,Broome,US,76.64,overcast clouds,42.2506,-75.833,Chenango Valley State Park
112,Elbistan,TR,61.2,clear sky,38.2059,37.1983,Sword Hotel
113,Rawson,AR,40.89,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
115,Cidreira,BR,49.6,few clouds,-30.1811,-50.2056,Hotel Castelo
116,General Pico,AR,33.39,clear sky,-35.6566,-63.7568,Euskadi Hotel
117,Dickinson,US,84.15,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
118,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
119,Touros,BR,76.53,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
120,Tuktoyaktuk,CA,32.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
121,Tiksi,RU,30.43,light snow,71.6872,128.8694,Arktika
122,Vestmanna,FO,41.92,broken clouds,62.1564,-7.1664,Vestmanna Camping
